,title,price1,price2,discountprice,free,alltime_reviews_summary,number_alltime_reviews,developer,publisher,recent_review_summary,number_recent_reviews,genre,release_date,tags,update_count
0,Gravity Ace,,,,,,(16 reviews),John Watson,John Watson,Positive,,"TITLE: Gravity Ace
GENRE: Action, Indie, Early Access
DEVELOPER: John Watson
PUBLISHER: John Watson
RELEASE DATE: 22 Oct, 2020
EARLY ACCESS RELEASE DATE: 22 Oct, 2020","22 Oct, 2020",Shoot 'Em Up Twin Stick Shooter Shooter 2D +,
1,KALEIDO STELLA,Bundle info,,,,,(11 reviews),CHARON,CHARON,Positive,,"TITLE: KALEIDO STELLA
GENRE: Adventure, Indie
DEVELOPER: CHARON, Kaoru Nekofuji
PUBLISHER: CHARON
RELEASE DATE: 30 Jan, 2019","30 Jan, 2019",Adventure Indie Anime Visual Novel +,
2,Heroes of a Broken Land 2,,,,,,(15 reviews),Winged Pixel Inc.,Winged Pixel Inc.,Positive,,"TITLE: Heroes of a Broken Land 2
GENRE: Indie, RPG, Strategy, Early Access
DEVELOPER: Winged Pixel Inc.
PUBLISHER: Winged Pixel Inc.
FRANCHISE: Heroes of a Broken Land
RELEASE DATE: 30 Sep, 2019
EARLY ACCESS RELEASE DATE: 30 Sep, 2019","30 Sep, 2019",RPG Indie Early Access Strategy Turn-Based +,15.0
3,Mission Critical,,,,,,(10 reviews),Legend Entertainment,Ziggurat,Positive,,"TITLE: Mission Critical
GENRE: Adventure, Strategy
DEVELOPER: Legend Entertainment
PUBLISHER: Ziggurat
RELEASE DATE: 28 Jan, 2019","28 Jan, 2019",Adventure Strategy FMV +,
4,Fairy Picturebook of Hero and Sorceress / 勇者と魔法使いとおとぎの絵本,,,,,,(31 reviews),BouSoft,BouSoft,Positive,,"TITLE: Fairy Picturebook of Hero and Sorceress / 勇者と魔法使いとおとぎの絵本
GENRE: Adventure, Indie, RPG, Simulation
DEVELOPER: BouSoft
PUBLISHER: BouSoft
RELEASE DATE: 1 Feb, 2019","1 Feb, 2019",RPG Indie Adventure Simulation Nudity +,
5,Project Hedra,,,,,,(12 reviews),Maximiliano Levi,Maximiliano Levi,Positive,,"TITLE: Project Hedra
GENRE: Action, Adventure, Casual, Indie, RPG, Early Access
DEVELOPER: Maximiliano Levi
PUBLISHER: Maximiliano Levi
RELEASE DATE: 29 Jan, 2020
EARLY ACCESS RELEASE DATE: 29 Jan, 2020","29 Jan, 2020",Indie Action Early Access Casual RPG 3D +,
6,UNI,,,,,,(11 reviews),Game Museum,Game Museum,Positive,,"TITLE: UNI
GENRE: Action, Casual, Indie
DEVELOPER: Game Museum
PUBLISHER: Game Museum
RELEASE DATE: 1 Apr, 2019","1 Apr, 2019",Indie Casual Action Minigames Party Game +,
7,Legal Dungeon,Bundle info,,,,,(335 reviews),Somi,Somi,Mostly Positive,,"TITLE: Legal Dungeon
GENRE: Adventure, Indie, Simulation
DEVELOPER: Somi
PUBLISHER: Somi
FRANCHISE: Somi
RELEASE DATE: 6 May, 2019","6 May, 2019",Indie Simulation Adventure Pixel Graphics +,
8,Drag Star!,Bundle info,,,,,(20 reviews),Choice of Games,Choice of Games,Positive,,"TITLE: Drag Star!
GENRE: Adventure, Indie, RPG
DEVELOPER: Choice of Games
PUBLISHER: Choice of Games
RELEASE DATE: 14 Mar, 2019","14 Mar, 2019",Adventure Indie RPG Text-Based LGBTQ+ +,
9,aMAZE St.Patrick,Bundle info,,,,,(13 reviews),Blender Games,Blender Games,Positive,,"TITLE: aMAZE St.Patrick
GENRE: Casual, Indie
DEVELOPER: Blender Games
PUBLISHER: Blender Games
FRANCHISE: aMAZE
RELEASE DATE: 1 Feb, 2019","1 Feb, 2019",Indie Casual Relaxing Puzzle 2D Difficult +,
